_RAJ2000,_DEJ2000,SPOCS,Name,Teff,logg,__M_H_,S,logRhk,Vbr,Vsini,Vmac,Vrad,SNR,Crms,Lrms,N,__C_H_,__N_H_,__O_H_,__Na_H_,__Mg_H_,__Al_H_,__Si_H_,__Ca_H_,__Ti_H_,__V_H_,__Cr_H_,__Mn_H_,__Fe_H_,__Ni_H_,__Y_H_,RAJ2000,DEJ2000,Vmag,Dist,logL,e_logL,Rstar,e_Rstar,Mstar,e_Mstar,Miso,b_Miso,B_Miso,logg2,e_logg2,Age,b_Age,B_Age,CCat,Simbad
357.9792,59.7136,3239,HD 240429,5878,4.43,0.00,0.15,-5.06,4.2,1.1,4.0,-21.2,244,0.01,0.01,1,0.00,-0.06,0.01,-0.06,0.01,0.01,0.00,0.02,0.02,0.02,0.01,-0.03,0.01,-0.01,0.04,23 51 55.0,+59 42 49,,,,,,,,,,,,,,,,,0,Simbad
358.0383,59.7075,3240,HD 240430,5803,4.33,0.18,0.15,-5.09,4.5,2.5,3.6,-21.2,247,0.01,0.01,1,0.09,-0.01,0.09,-0.04,0.19,0.21,0.16,0.23,0.20,0.20,0.17,0.00,0.20,0.21,0.26,23 52 09.2,+59 42 27,,,,,,,,,,,,,,,,,0,Simbad
